sample_id,dataset,split,context,positive,negative,neutral,pos_neutral_distance,pos_neg_distance,neg_neutral_distance,error_type,possible_innovation_help
debate:dev:c4:c4_s7:c4_d11:c4_s7_n7_p3,debate,dev,Claim: Gay couples should be allowed to marry.,Denying some people the option to marry is discriminatory and creates a second class of citizens.,The institution of marriage has traditionally been defined as being between a man and a woman.,Some people believe the option is to prioritize renewable energy over fossil fuels for sustainability.,0.35746,0.444063,0.607768,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c4:c4_s0:c4_d22:c4_s0_n0_p3,debate,dev,Claim: Gay couples should be allowed to marry.,"Marriage provides both physical and psychological health benefits, and banning gay marriage increases rates of psychological disorders.",There are many types of marriage which are innaporpoate and dangerous which may be allowed if gay marriage is legalized.,Banning plastic bags increases environmental sustainability and provides a significant decrease in pollution rates worldwide.,0.455534,0.449518,0.604372,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c4:c4_s0:c4_d15:c4_s0_n0_p3,debate,dev,Claim: Gay couples should be allowed to marry.,"Marriage provides both physical and psychological health benefits, and banning gay marriage increases rates of psychological disorders.","Gay marriage is contrary to the word of God and is incompatible with the beliefs, sacred texts, and traditions of many religious groups.",Banning plastic bags increases environmental sustainability and provides a significant decrease in pollution rates worldwide.,0.455534,0.469068,0.618422,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c4:c4_s0:c4_d8:c4_s0_n0_p3,debate,dev,Claim: Gay couples should be allowed to marry.,"Marriage provides both physical and psychological health benefits, and banning gay marriage increases rates of psychological disorders.",If gay couples don't get married it means they lose benefits through the legalization of gay marriage.,Banning plastic bags increases environmental sustainability and provides a significant decrease in pollution rates worldwide.,0.455534,0.454545,0.600725,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c2:c2_s1:c2_d1:c2_s1_n1_p3,debate,dev,Claim: Goal line technology has to be adopted in football.,Technology relies of facts and figures without the corrupting influence of opinions or morals.,The cost would not match FIFA's aim of opening football to the world,Technology's corrupting influence often relies on facts being manipulated or distorted for personal gain.,0.382787,0.403417,0.545141,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
debate:dev:c4:c4_s0:c4_d13:c4_s0_n0_p3,debate,dev,Claim: Gay couples should be allowed to marry.,"Marriage provides both physical and psychological health benefits, and banning gay marriage increases rates of psychological disorders.",The institution of marriage has been weakened in recent years and allowing gay marriage will only further damage an already crumbling institution.,Banning plastic bags increases environmental sustainability and provides a significant decrease in pollution rates worldwide.,0.455534,0.477767,0.617724,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s0:c3_d0:c3_s0_n0_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The people stand at the bottom of the grassy hill and look at the armadillo.,The people look out the window at the armadilo.,"Stand at bottom, look at armadillo, and appreciate the armadillo's unique adaptations to survive.",0.153585,0.087097,0.207594,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s0:c3_d0:c3_d0_n4_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The people stand at the bottom of the grassy hill and look at the armadillo.,The people look out the window at the armadilo.,"The people gazed through the window, seeing endless possibilities.",0.173984,0.087097,0.123583,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s1:c3_d0:c3_s1_n1_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The armadillo can wander freely for miles.,The people look out the window at the armadilo.,One can wander for miles exploring nature.,0.0995,0.205703,0.292043,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c12:c12_s1:c12_d1:c12_s1_n1_p3,defeasible_nli,dev,"Premise: A boy making an ""oh!"" face in front of a bay. Hypothesis: A child is surprised by the ships.",A child is surprised by the oceanliners.,A child is surprised by the swooping gulls.,The oceanliners' size always surprised first-timers.,0.107548,0.030254,0.116518,positive_negative_too_close,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s0:c3_d2:c3_d2_n6_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The people stand at the bottom of the grassy hill and look at the armadillo.,The people are standing on some carpet.,People standing on carpet are often comfortable.,0.297886,0.215285,0.057143,neutral_lexically_close_to_negative,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s2:c3_d0:c3_s2_n2_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The people are standing on some grass.,The people look out the window at the armadilo.,"People are standing on grass, enjoying nature.",0.057143,0.175137,0.252468,neutral_lexically_close_to_positive,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s1:c3_d1:c3_d1_n5_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The armadillo can wander freely for miles.,The armadillo is behind a glass wall.,A glass wall is behind the main wall.,0.229949,0.155838,0.04467,neutral_lexically_close_to_negative,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
defeasible_nli:dev:c3:c3_s3:c3_d1:c3_d1_n5_p3,defeasible_nli,dev,Premise: 4 children and 1 adult look at an armadillo on a grassy hill with 2 trees. Hypothesis: There are people outside.,The armadillo begins to climb the tree.,The armadillo is behind a glass wall.,A glass wall is behind the main wall.,0.223794,0.151515,0.04467,neutral_lexically_close_to_negative,Axis-aware loss may help if it explicitly separates positive-negative while keeping neutral near the midpoint under the same context.
